	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
42	42	442	4	0.19	768	2.1497466798413916	14	False	False	3.9999	3.9999	3.9999	0.148	0.1446	0.1403	0.0249	0.0249	0.0249	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
43	43	111	1	0.22	768	2.5936791093020197	15	False	False	3.9999	3.9999	3.9999	0.1572	0.1554	0.1506	0.0251	0.0251	0.0251	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
44	44	242	1	0.45	768	3.1292855968155457	15	False	False	3.9999	3.9999	3.9999	0.1523	0.1501	0.1464	0.0247	0.0247	0.0247	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
45	45	107	3	0.21	768	3.775497250726772	15	False	False	3.9999	3.9999	3.9999	0.152	0.1433	0.1433	0.025	0.025	0.025	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
46	46	150	2	0.2	768	4.555154539026766	16	False	False	3.9999	3.9999	3.9999	0.1139	0.1101	0.1075	0.0253	0.0253	0.0253	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
47	47	38	1	0.2	768	5.495814589832351	16	False	False	3.9999	3.9999	4.0	0.1061	0.1002	0.0962	0.0216	0.0216	0.0216	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
48	48	248	1	0.49	768	6.6307252030723465	16	False	False	3.9999	3.9999	3.9999	0.1169	0.1169	0.1155	0.0195	0.0195	0.0195	13.0	13.0	13.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
49	49	670	0	0.45	768	8.0	16	False	False	4.0	4.0	4.0	0.1137	0.1134	0.1139	0.0231	0.0231	0.0231	15.0	15.0	15.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
0	0	776	0	0.15	300	0.0	1	False	False	0.4378	0.4867	0.4769	0.8967	0.8858	0.8892	621.8209	621.8209	621.8209	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
1	1	433	2	0.27	300	0.0009765625	1	False	False	0.5652	0.6019	0.5915	0.8821	0.8727	0.8752	261.2614	261.2614	261.2614	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
2	2	310	5	0.5	300	0.0011782270808598852	1	False	False	0.6584	0.6926	0.681	0.8666	0.8583	0.864	226.7691	226.7691	226.7691	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
3	3	300	1	0.44	300	0.001421536311369323	1	False	False	0.6559	0.6897	0.6796	0.8675	0.8601	0.8643	218.3499	218.3499	218.3499	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
4	4	1009	2	0.1	300	0.0017150900003645502	2	False	False	0.6017	0.6361	0.6297	0.8795	0.8711	0.8742	217.737	217.737	217.737	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
5	5	657	3	0.5	300	0.0020692638561704995	2	False	False	0.7382	0.7695	0.7612	0.8568	0.8516	0.853	184.8599	184.8599	184.8599	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
6	6	455	2	0.49	300	0.0024965762178914648	2	False	False	0.7695	0.7998	0.7924	0.8532	0.8479	0.8499	172.2331	172.2331	172.2331	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
7	7	103	1	0.44	300	0.0030121305183748843	3	False	False	0.7906	0.8199	0.8137	0.8507	0.8452	0.8478	161.9919	161.9919	161.9919	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
8	8	203	4	0.05	300	0.0036341491177818244	3	False	False	0.75	0.7789	0.7763	0.8585	0.8534	0.8548	156.8428	156.8428	156.8428	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
9	9	150	4	0.02	300	0.004384617376208487	3	False	False	0.7992	0.8265	0.825	0.855	0.8505	0.8511	143.7532	143.7532	143.7532	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
10	10	72	3	0.23	300	0.005290060730222237	4	False	False	0.9045	0.9292	0.9267	0.8314	0.8274	0.83	127.638	127.638	127.638	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
11	11	467	3	0.31	300	0.006382482239223045	4	False	False	1.0024	1.0245	1.0218	0.8194	0.8162	0.8187	113.4098	113.4098	113.4098	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
12	12	377	0	0.37	300	0.007700493739376463	4	False	False	1.1117	1.1311	1.1282	0.8049	0.8031	0.8044	100.0086	100.0086	100.0086	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
13	13	436	2	0.25	300	0.009290680585958758	5	False	False	1.1786	1.196	1.194	0.7967	0.7934	0.7953	90.6256	90.6256	90.6256	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
14	14	382	2	0.41	300	0.011209248221179687	5	False	False	1.3532	1.3672	1.3648	0.7679	0.7648	0.7654	76.6153	76.6153	76.6153	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
15	15	326	3	0.09	300	0.01352400876572098	5	False	False	1.4009	1.4145	1.4138	0.7588	0.7536	0.7557	69.8474	69.8474	69.8474	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
16	16	326	2	0.02	300	0.01631677785042834	6	False	False	1.5425	1.5545	1.5551	0.7354	0.7277	0.7305	60.0846	60.0846	60.0846	16.0	16.0	16.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
17	17	247	2	0.15	300	0.01968626640460739	6	False	False	1.7549	1.7644	1.7661	0.69	0.6824	0.6862	48.9023	48.9023	48.9023	15.0	15.0	15.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
18	18	179	1	0.01	300	0.02375156961170491	6	False	False	1.9131	1.9219	1.9256	0.654	0.6436	0.6441	41.3682	41.3682	41.3682	15.0	15.0	15.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
19	19	137	5	0.3	300	0.028656376350145975	7	False	False	2.2356	2.2405	2.2452	0.5778	0.5717	0.5699	29.8796	29.8796	29.8796	15.0	15.0	15.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
20	20	786	2	0.24	300	0.03457404790277603	7	False	False	2.4263	2.4282	2.4348	0.5554	0.5488	0.5494	23.9726	23.9726	23.9726	14.0	14.0	14.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
21	21	410	1	0.49	300	0.04171374544281356	7	False	False	2.7359	2.7334	2.742	0.4941	0.4911	0.4927	16.5474	16.5474	16.5474	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
22	22	388	0	0.48	300	0.0503278228734142	8	False	False	2.9478	2.9431	2.9534	0.3868	0.3873	0.3872	12.1509	12.1509	12.1509	12.0	12.0	12.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
23	23	38	2	0.4	300	0.06072074632210035	8	False	False	3.1635	3.1572	3.1695	0.3425	0.3425	0.3422	8.388	8.388	8.388	12.0	12.0	12.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
24	24	467	2	0.11	300	0.07325985555120318	8	False	False	3.3742	3.3657	3.3788	0.2827	0.2873	0.2859	5.2231	5.2231	5.2231	9.0	9.0	9.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
25	25	176	4	0.05	300	0.08838834764831845	9	False	False	3.5072	3.5004	3.5118	0.2829	0.2874	0.2862	3.5738	3.5738	3.5738	9.0	9.0	9.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
26	26	57	4	0.0	300	0.10664094190766783	9	False	False	3.6948	3.6923	3.7018	0.1705	0.1677	0.1654	1.6552	1.6552	1.6552	10.0	10.0	10.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
27	27	968	3	0.22	300	0.12866277958043645	9	False	False	3.727	3.7253	3.7334	0.1705	0.1677	0.1654	1.3783	1.3783	1.3783	8.0	8.0	8.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
