	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language
48	16	326	2	0.02	768	0.01631677785042834	0	False	False	0.5583	0.9393	0.9431	0.9045	0.8307	0.8304	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
49	16	326	2	0.02	768	0.01631677785042834	0	True	False	0.2265	0.2258	0.2258	0.9574	0.9574	0.9574	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
50	16	326	2	0.02	768	0.01631677785042834	0	True	True													roberta	mlp	english
51	17	247	2	0.15	768	0.01968626640460739	0	False	False	0.4172	0.8434	0.8626	0.9355	0.8493	0.8502	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
52	17	247	2	0.15	768	0.01968626640460739	0	True	False	2.2069	2.205	2.2055	0.5942	0.5942	0.5942	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
53	17	247	2	0.15	768	0.01968626640460739	0	True	True													roberta	mlp	english
54	18	179	1	0.01	768	0.02375156961170491	0	False	False	0.6119	0.9584	0.9588	0.8928	0.8222	0.8276	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
55	18	179	1	0.01	768	0.02375156961170491	0	True	False	0.8709	0.8704	0.8712	0.8463	0.8463	0.8463	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
56	18	179	1	0.01	768	0.02375156961170491	0	True	True													roberta	mlp	english
57	19	137	5	0.3	768	0.028656376350145975	0	False	False	2.6972	2.5695	2.5878	0.3392	0.3704	0.3899	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
58	19	137	5	0.3	768	0.028656376350145975	0	True	False	2.9046	2.9032	2.9038	0.3768	0.3768	0.3768	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
59	19	137	5	0.3	768	0.028656376350145975	0	True	True													roberta	mlp	english
60	20	786	2	0.24	768	0.03457404790277603	0	False	False	0.3895	0.8184	0.8311	0.9417	0.858	0.8612	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
61	20	786	2	0.24	768	0.03457404790277603	0	True	False	1.3189	1.3185	1.3187	0.8137	0.8137	0.8137	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
62	20	786	2	0.24	768	0.03457404790277603	0	True	True													roberta	mlp	english
63	21	410	1	0.49	768	0.04171374544281356	0	False	False	1.0456	1.132	1.1403	0.8608	0.8239	0.827	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
64	21	410	1	0.49	768	0.04171374544281356	0	True	False	2.9276	2.9285	2.9272	0.4149	0.4149	0.4149	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
65	21	410	1	0.49	768	0.04171374544281356	0	True	True													roberta	mlp	english
66	22	388	0	0.48	768	0.0503278228734142	0	False	False	1.0892	1.3388	1.337	0.8186	0.762	0.7697	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
67	22	388	0	0.48	768	0.0503278228734142	0	True	False	2.9926	2.9922	2.9922	0.4297	0.4297	0.4297	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
68	22	388	0	0.48	768	0.0503278228734142	0	True	True													roberta	mlp	english
69	23	38	2	0.4	768	0.06072074632210035	0	False	False	2.05	1.8715	1.879	0.6593	0.6805	0.6911	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
70	23	38	2	0.4	768	0.06072074632210035	0	True	False	3.1072	3.108	3.1066	0.3525	0.3525	0.3525	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
71	23	38	2	0.4	768	0.06072074632210035	0	True	True	4.4942	4.4933	4.4936	0.1495	0.1495	0.1495	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
72	24	467	2	0.11	768	0.07325985555120318	0	False	False	0.5694	0.8763	0.8777	0.905	0.8413	0.8409	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
73	24	467	2	0.11	768	0.07325985555120318	0	True	False	1.1193	1.1197	1.1192	0.8367	0.8367	0.8367	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
74	24	467	2	0.11	768	0.07325985555120318	0	True	True	1.9022	1.9018	1.9008	0.7516	0.7516	0.7516	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
75	25	176	4	0.05	768	0.08838834764831845	0	False	False	0.8798	1.1877	1.1946	0.8558	0.7909	0.798	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
76	25	176	4	0.05	768	0.08838834764831845	0	True	False	2.3307	2.3307	2.3302	0.5029	0.5029	0.5029	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
77	25	176	4	0.05	768	0.08838834764831845	0	True	True	3.1345	3.1324	3.1332	0.4678	0.4678	0.4678	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
78	26	57	4	0.0	768	0.10664094190766783	0	False	False	1.7517	1.8052	1.7988	0.665	0.6598	0.667	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
79	26	57	4	0.0	768	0.10664094190766783	0	True	False	2.8834	2.8828	2.8827	0.3884	0.3884	0.3884	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
80	26	57	4	0.0	768	0.10664094190766783	0	True	True	3.8226	3.8228	3.8205	0.3433	0.3433	0.3433	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
81	27	968	3	0.22	768	0.12866277958043645	0	False	False	0.5076	0.8867	0.9166	0.9214	0.8485	0.8461	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
82	27	968	3	0.22	768	0.12866277958043645	0	True	False	1.7318	1.7332	1.7311	0.7014	0.7014	0.7014	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
83	27	968	3	0.22	768	0.12866277958043645	0	True	True	2.3251	2.3278	2.3292	0.6357	0.6357	0.6357	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
84	28	268	4	0.37	768	0.15523222650918542	0	False	False	1.4959	1.4828	1.4974	0.761	0.7515	0.7631	0.0	0.0	0.0	0.0	0.0	0.0	roberta	mlp	english
