	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language
13	4	1009	2	0.1	148	0.0017150900003645502	0	True	False	1.9756	1.9751	1.975	0.6221	0.6221	0.6221	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
14	4	1009	2	0.1	148	0.0017150900003645502	0	True	True													random	mlp	english
15	5	657	3	0.5	165	0.0020692638561704995	0	False	False	3.1432	2.9098	2.8947	0.4127	0.4325	0.4489	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
16	5	657	3	0.5	165	0.0020692638561704995	0	True	False	3.4152	3.4143	3.4141	0.2778	0.2779	0.2778	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
17	5	657	3	0.5	165	0.0020692638561704995	0	True	True													random	mlp	english
18	6	455	2	0.49	60	0.0024965762178914648	0	False	False	3.3624	3.0579	3.0483	0.3494	0.3693	0.3915	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
19	6	455	2	0.49	60	0.0024965762178914648	0	True	False	3.5374	3.5365	3.5387	0.2492	0.2492	0.2492	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
20	6	455	2	0.49	60	0.0024965762178914648	0	True	True													random	mlp	english
21	7	103	1	0.44	84	0.0030121305183748843	0	False	False	3.6481	3.313	3.3088	0.3239	0.347	0.3626	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
22	7	103	1	0.44	84	0.0030121305183748843	0	True	False	3.7907	3.7912	3.7907	0.2381	0.2381	0.2381	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
23	7	103	1	0.44	84	0.0030121305183748843	0	True	True													random	mlp	english
24	8	203	4	0.05	238	0.0036341491177818244	0	False	False	2.8061	2.8688	2.8753	0.4794	0.4389	0.4341	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
25	8	203	4	0.05	238	0.0036341491177818244	0	True	False	2.9812	2.9811	2.98	0.4107	0.4107	0.4107	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
26	8	203	4	0.05	238	0.0036341491177818244	0	True	True													random	mlp	english
27	9	150	4	0.02	122	0.004384617376208487	0	False	False	2.7936	2.8595	2.8648	0.4859	0.4323	0.4415	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
28	9	150	4	0.02	122	0.004384617376208487	0	True	False	3.0565	3.055	3.0571	0.3884	0.3884	0.3884	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
29	9	150	4	0.02	122	0.004384617376208487	0	True	True													random	mlp	english
30	10	72	3	0.23	144	0.005290060730222237	0	False	False	3.2557	3.0011	2.998	0.3793	0.3943	0.4147	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
31	10	72	3	0.23	144	0.005290060730222237	0	True	False	3.458	3.4562	3.4583	0.2651	0.2651	0.2651	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
32	10	72	3	0.23	144	0.005290060730222237	0	True	True													random	mlp	english
33	11	467	3	0.31	79	0.006382482239223045	0	False	False	2.9464	2.8153	2.7952	0.453	0.4476	0.4728	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
34	11	467	3	0.31	79	0.006382482239223045	0	True	False	3.3472	3.3472	3.3466	0.302	0.302	0.302	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
35	11	467	3	0.31	79	0.006382482239223045	0	True	True													random	mlp	english
36	12	377	0	0.37	159	0.007700493739376463	0	False	False	4.1009	3.7716	3.797	0.26	0.2873	0.3043	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
37	12	377	0	0.37	159	0.007700493739376463	0	True	False	4.2276	4.2274	4.2281	0.1871	0.1871	0.1871	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
38	12	377	0	0.37	159	0.007700493739376463	0	True	True													random	mlp	english
39	13	436	2	0.25	154	0.009290680585958758	0	False	False	2.7796	2.7655	2.7499	0.5071	0.4563	0.4762	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
40	13	436	2	0.25	154	0.009290680585958758	0	True	False	3.144	3.1443	3.1441	0.3611	0.3611	0.3611	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
41	13	436	2	0.25	154	0.009290680585958758	0	True	True													random	mlp	english
42	14	382	2	0.41	148	0.011209248221179687	0	False	False	3.0504	2.8716	2.8533	0.4243	0.4151	0.4325	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
43	14	382	2	0.41	148	0.011209248221179687	0	True	False	3.3986	3.3992	3.3984	0.2825	0.2825	0.2825	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
44	14	382	2	0.41	148	0.011209248221179687	0	True	True													random	mlp	english
45	15	326	3	0.09	115	0.01352400876572098	0	False	False	2.6413	2.7671	2.7652	0.5287	0.4531	0.4741	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
46	15	326	3	0.09	115	0.01352400876572098	0	True	False	2.9067	2.9059	2.9081	0.4368	0.4368	0.4368	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
47	15	326	3	0.09	115	0.01352400876572098	0	True	True													random	mlp	english
48	16	326	2	0.02	124	0.01631677785042834	0	False	False	2.7272	2.8533	2.8421	0.5139	0.446	0.4717	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
49	16	326	2	0.02	124	0.01631677785042834	0	True	False	2.2498	2.2492	2.2497	0.5659	0.5659	0.5659	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
50	16	326	2	0.02	124	0.01631677785042834	0	True	True													random	mlp	english
51	17	247	2	0.15	240	0.01968626640460739	0	False	False	2.6159	2.7384	2.7269	0.5461	0.4666	0.4816	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
52	17	247	2	0.15	240	0.01968626640460739	0	True	False	2.9872	2.9858	2.9865	0.4138	0.4138	0.4138	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
53	17	247	2	0.15	240	0.01968626640460739	0	True	True													random	mlp	english
54	18	179	1	0.01	50	0.02375156961170491	0	False	False	3.0475	3.0455	3.048	0.4432	0.4138	0.4322	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
55	18	179	1	0.01	50	0.02375156961170491	0	True	False	3.1372	3.1376	3.1389	0.378	0.378	0.378	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
56	18	179	1	0.01	50	0.02375156961170491	0	True	True													random	mlp	english
57	19	137	5	0.3	235	0.028656376350145975	0	False	False	3.3398	3.0975	3.0988	0.3209	0.3633	0.3822	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
58	19	137	5	0.3	235	0.028656376350145975	0	True	False	3.4343	3.4365	3.4345	0.2709	0.2709	0.2709	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
59	19	137	5	0.3	235	0.028656376350145975	0	True	True													random	mlp	english
60	20	786	2	0.24	144	0.03457404790277603	0	False	False	2.6262	2.7409	2.7354	0.5431	0.4642	0.4732	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
61	20	786	2	0.24	144	0.03457404790277603	0	True	False	3.0063	3.0061	3.0068	0.4009	0.4009	0.4009	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
62	20	786	2	0.24	144	0.03457404790277603	0	True	True													random	mlp	english
63	21	410	1	0.49	188	0.04171374544281356	0	False	False	3.1474	2.9126	2.9033	0.4455	0.447	0.4673	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
64	21	410	1	0.49	188	0.04171374544281356	0	True	False	3.4613	3.4607	3.4613	0.2924	0.2924	0.2924	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
65	21	410	1	0.49	188	0.04171374544281356	0	True	True													random	mlp	english
66	22	388	0	0.48	59	0.0503278228734142	0	False	False	4.2942	3.9033	3.9131	0.2136	0.2566	0.2699	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
67	22	388	0	0.48	59	0.0503278228734142	0	True	False	4.3421	4.3406	4.3417	0.1558	0.1557	0.1557	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
68	22	388	0	0.48	59	0.0503278228734142	0	True	True													random	mlp	english
69	23	38	2	0.4	176	0.06072074632210035	0	False	False	3.5716	3.2607	3.2712	0.2462	0.2696	0.2729	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
70	23	38	2	0.4	176	0.06072074632210035	0	True	False	3.6455	3.6444	3.6461	0.2424	0.2424	0.2424	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
71	23	38	2	0.4	176	0.06072074632210035	0	True	True													random	mlp	english
72	24	467	2	0.11	75	0.07325985555120318	0	False	False	2.5069	2.754	2.737	0.571	0.4694	0.4853	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
73	24	467	2	0.11	75	0.07325985555120318	0	True	False	2.6835	2.6844	2.6847	0.4833	0.4833	0.4833	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
74	24	467	2	0.11	75	0.07325985555120318	0	True	True													random	mlp	english
75	25	176	4	0.05	210	0.08838834764831845	0	False	False	2.8537	2.862	2.8466	0.468	0.4214	0.4336	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
76	25	176	4	0.05	210	0.08838834764831845	0	True	False	3.0766	3.0776	3.0789	0.3834	0.3834	0.3834	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
77	25	176	4	0.05	210	0.08838834764831845	0	True	True													random	mlp	english
78	26	57	4	0.0	85	0.10664094190766783	0	False	False	3.1754	3.0715	3.0834	0.3829	0.3782	0.3928	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
79	26	57	4	0.0	85	0.10664094190766783	0	True	False	3.3204	3.319	3.3191	0.3128	0.3128	0.3128	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
80	26	57	4	0.0	85	0.10664094190766783	0	True	True													random	mlp	english
81	27	968	3	0.22	102	0.12866277958043645	0	False	False	2.6178	2.7354	2.7309	0.5332	0.4656	0.4809	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
82	27	968	3	0.22	102	0.12866277958043645	0	True	False	2.9047	2.9043	2.9026	0.435	0.435	0.435	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
83	27	968	3	0.22	102	0.12866277958043645	0	True	True													random	mlp	english
84	28	268	4	0.37	225	0.15523222650918542	0	False	False	3.0876	2.8924	2.8843	0.4174	0.4323	0.4544	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
85	28	268	4	0.37	225	0.15523222650918542	0	True	False	3.3698	3.3722	3.3708	0.2881	0.2881	0.2881	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
86	28	268	4	0.37	225	0.15523222650918542	0	True	True													random	mlp	english
87	29	270	0	0.04	187	0.1872883846095852	0	False	False	3.9092	3.7732	3.8033	0.3177	0.321	0.3376	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
88	29	270	0	0.04	187	0.1872883846095852	0	True	False	4.0798	4.0807	4.0812	0.2278	0.2278	0.2278	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
89	29	270	0	0.04	187	0.1872883846095852	0	True	True													random	mlp	english
90	30	596	0	0.43	195	0.22596428459777515	0	False	False	4.0782	3.7623	3.7789	0.2723	0.2979	0.3198	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
91	30	596	0	0.43	195	0.22596428459777515	0	True	False	4.212	4.2109	4.2103	0.1917	0.1917	0.1917	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
92	30	596	0	0.43	195	0.22596428459777515	0	True	True													random	mlp	english
93	31	694	3	0.18	230	0.2726269331663144	0	False	False	2.7718	2.7734	2.7636	0.4963	0.4521	0.4637	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
94	31	694	3	0.18	230	0.2726269331663144	0	True	False	2.7505	2.7496	2.7492	0.4725	0.4725	0.4725	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
95	31	694	3	0.18	230	0.2726269331663144	0	True	True													random	mlp	english
96	32	837	4	0.09	187	0.32892563008340914	0	False	False	2.8125	2.8404	2.8476	0.4785	0.4242	0.4415	0.0	0.0	0.0	0.0	0.0	0.0	random	mlp	english
0	0	776	0	0.15	768	0.0	1	False	False	1.6311	6.872	6.5758	0.9184	0.8156	0.8249	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
1	0	776	0	0.15	768	0.0	1	True	False	6.8688	6.8696	6.8675	0.4402	0.4402	0.4402	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
2	0	776	0	0.15	768	0.0	1	True	True													albert	mlp	english
3	1	433	2	0.27	768	0.0009765625	0	False	False	0.332	0.6684	0.6823	0.95	0.8939	0.8911	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
4	1	433	2	0.27	768	0.0009765625	0	True	False	2.5217	2.5211	2.5204	0.4836	0.4836	0.4836	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
5	1	433	2	0.27	768	0.0009765625	0	True	True													albert	mlp	english
6	2	310	5	0.5	768	0.0011782270808598852	0	False	False	2.463	2.2783	2.2856	0.4288	0.4731	0.4956	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
7	2	310	5	0.5	768	0.0011782270808598852	0	True	False	2.9648	2.9641	2.9655	0.3723	0.3723	0.3723	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
8	2	310	5	0.5	768	0.0011782270808598852	0	True	True													albert	mlp	english
9	3	300	1	0.44	768	0.001421536311369323	0	False	False	1.0112	1.0414	1.0314	0.8521	0.8379	0.8418	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
10	3	300	1	0.44	768	0.001421536311369323	0	True	False	2.9538	2.9554	2.9559	0.3817	0.3817	0.3817	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
11	3	300	1	0.44	768	0.001421536311369323	0	True	True													albert	mlp	english
12	4	1009	2	0.1	768	0.0017150900003645502	0	False	False	0.307	0.7054	0.7158	0.948	0.8834	0.8813	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
13	4	1009	2	0.1	768	0.0017150900003645502	0	True	False	0.1975	0.1975	0.1969	0.9506	0.9506	0.9506	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
14	4	1009	2	0.1	768	0.0017150900003645502	0	True	True													albert	mlp	english
15	5	657	3	0.5	768	0.0020692638561704995	0	False	False	1.0519	1.0966	1.0815	0.8439	0.8274	0.8313	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
16	5	657	3	0.5	768	0.0020692638561704995	0	True	False	2.9013	2.9022	2.8996	0.3845	0.3845	0.3845	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
17	5	657	3	0.5	768	0.0020692638561704995	0	True	True													albert	mlp	english
18	6	455	2	0.49	768	0.0024965762178914648	0	False	False	0.8414	0.9322	0.9298	0.8792	0.8569	0.8577	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
19	6	455	2	0.49	768	0.0024965762178914648	0	True	False	2.9777	2.9788	2.9764	0.375	0.375	0.375	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
20	6	455	2	0.49	768	0.0024965762178914648	0	True	True													albert	mlp	english
21	7	103	1	0.44	768	0.0030121305183748843	0	False	False	1.5267	1.4212	1.4067	0.7705	0.7761	0.7885	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
22	7	103	1	0.44	768	0.0030121305183748843	0	True	False	3.0119	3.0148	3.0124	0.3711	0.3711	0.3711	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
23	7	103	1	0.44	768	0.0030121305183748843	0	True	True													albert	mlp	english
24	8	203	4	0.05	768	0.0036341491177818244	0	False	False	0.462	0.9462	0.9572	0.9297	0.8552	0.8526	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
25	8	203	4	0.05	768	0.0036341491177818244	0	True	False	2.0691	2.0699	2.0702	0.5695	0.5695	0.5695	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
26	8	203	4	0.05	768	0.0036341491177818244	0	True	True													albert	mlp	english
27	9	150	4	0.02	768	0.004384617376208487	0	False	False	0.7124	1.0273	1.0275	0.8806	0.8283	0.8343	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
28	9	150	4	0.02	768	0.004384617376208487	0	True	False	1.9144	1.9138	1.9122	0.6037	0.6037	0.6037	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
29	9	150	4	0.02	768	0.004384617376208487	0	True	True													albert	mlp	english
30	10	72	3	0.23	768	0.005290060730222237	0	False	False	1.2749	1.2756	1.278	0.8001	0.7924	0.8011	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
31	10	72	3	0.23	768	0.005290060730222237	0	True	False	2.8961	2.8942	2.896	0.3796	0.3796	0.3796	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
32	10	72	3	0.23	768	0.005290060730222237	0	True	True													albert	mlp	english
33	11	467	3	0.31	768	0.006382482239223045	0	False	False	0.4317	0.7266	0.7347	0.9371	0.8872	0.8811	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
34	11	467	3	0.31	768	0.006382482239223045	0	True	False	2.667	2.6675	2.6669	0.4376	0.4376	0.4376	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
35	11	467	3	0.31	768	0.006382482239223045	0	True	True													albert	mlp	english
36	12	377	0	0.37	768	0.007700493739376463	0	False	False	3.1568	6.7179	6.4626	0.8644	0.7885	0.8018	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
37	12	377	0	0.37	768	0.007700493739376463	0	True	False	8.8509	8.8545	8.8537	0.3587	0.3587	0.3587	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
38	12	377	0	0.37	768	0.007700493739376463	0	True	True													albert	mlp	english
39	13	436	2	0.25	768	0.009290680585958758	0	False	False	0.3814	0.6804	0.6875	0.9399	0.8872	0.8871	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
40	13	436	2	0.25	768	0.009290680585958758	0	True	False	2.4653	2.4655	2.4643	0.5003	0.5003	0.5003	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
41	13	436	2	0.25	768	0.009290680585958758	0	True	True													albert	mlp	english
42	14	382	2	0.41	768	0.011209248221179687	0	False	False	0.6081	0.7735	0.7773	0.9111	0.8773	0.8776	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
43	14	382	2	0.41	768	0.011209248221179687	0	True	False	2.8555	2.8558	2.8559	0.3964	0.3964	0.3964	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
44	14	382	2	0.41	768	0.011209248221179687	0	True	True													albert	mlp	english
45	15	326	3	0.09	768	0.01352400876572098	0	False	False	0.3366	0.7473	0.7515	0.9438	0.8801	0.8779	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
46	15	326	3	0.09	768	0.01352400876572098	0	True	False	1.7424	1.7445	1.7431	0.6812	0.6812	0.6812	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
47	15	326	3	0.09	768	0.01352400876572098	0	True	True													albert	mlp	english
48	16	326	2	0.02	768	0.01631677785042834	0	False	False	0.3285	0.7646	0.7635	0.9416	0.8762	0.8779	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
49	16	326	2	0.02	768	0.01631677785042834	0	True	False	0.3128	0.313	0.3132	0.9348	0.9348	0.9348	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
50	16	326	2	0.02	768	0.01631677785042834	0	True	True													albert	mlp	english
51	17	247	2	0.15	768	0.01968626640460739	0	False	False	0.2816	0.6921	0.6933	0.9554	0.8872	0.8885	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
52	17	247	2	0.15	768	0.01968626640460739	0	True	False	2.3283	2.3276	2.3275	0.542	0.542	0.542	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
53	17	247	2	0.15	768	0.01968626640460739	0	True	True													albert	mlp	english
54	18	179	1	0.01	768	0.02375156961170491	0	False	False	0.4139	0.8607	0.8456	0.926	0.8555	0.8609	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
55	18	179	1	0.01	768	0.02375156961170491	0	True	False	1.1378	1.1375	1.1373	0.7629	0.7629	0.7629	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
56	18	179	1	0.01	768	0.02375156961170491	0	True	True													albert	mlp	english
57	19	137	5	0.3	768	0.028656376350145975	0	False	False	2.6932	2.4963	2.5284	0.3498	0.3906	0.4064	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
58	19	137	5	0.3	768	0.028656376350145975	0	True	False	2.8865	2.8861	2.8869	0.3792	0.3792	0.3792	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
59	19	137	5	0.3	768	0.028656376350145975	0	True	True													albert	mlp	english
60	20	786	2	0.24	768	0.03457404790277603	0	False	False	0.2884	0.6872	0.6921	0.9565	0.8883	0.8898	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
61	20	786	2	0.24	768	0.03457404790277603	0	True	False	1.9935	1.9935	1.9946	0.6187	0.6187	0.6187	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
62	20	786	2	0.24	768	0.03457404790277603	0	True	True													albert	mlp	english
63	21	410	1	0.49	768	0.04171374544281356	0	False	False	1.1981	1.1875	1.1735	0.8293	0.8216	0.8259	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
64	21	410	1	0.49	768	0.04171374544281356	0	True	False	2.9574	2.9567	2.9567	0.3789	0.3789	0.3789	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
65	21	410	1	0.49	768	0.04171374544281356	0	True	True													albert	mlp	english
66	22	388	0	0.48	768	0.0503278228734142	0	False	False	4.3574	6.7994	6.4504	0.8239	0.7686	0.7822	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
67	22	388	0	0.48	768	0.0503278228734142	0	True	False	9.8331	9.8342	9.8324	0.3426	0.3426	0.3426	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
68	22	388	0	0.48	768	0.0503278228734142	0	True	True													albert	mlp	english
69	23	38	2	0.4	768	0.06072074632210035	0	False	False	1.8989	1.7145	1.722	0.68	0.7085	0.7187	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
70	23	38	2	0.4	768	0.06072074632210035	0	True	False	3.0236	3.0228	3.0232	0.3638	0.3638	0.3638	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
71	23	38	2	0.4	768	0.06072074632210035	0	True	True													albert	mlp	english
72	24	467	2	0.11	768	0.07325985555120318	0	False	False	0.2927	0.693	0.6893	0.9505	0.8846	0.8846	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
73	24	467	2	0.11	768	0.07325985555120318	0	True	False	1.1084	1.1075	1.1082	0.8131	0.8131	0.8131	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
74	24	467	2	0.11	768	0.07325985555120318	0	True	True													albert	mlp	english
75	25	176	4	0.05	768	0.08838834764831845	0	False	False	0.5958	0.9855	0.9653	0.909	0.8458	0.8424	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
76	25	176	4	0.05	768	0.08838834764831845	0	True	False	2.3718	2.3733	2.373	0.4784	0.4784	0.4784	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
77	25	176	4	0.05	768	0.08838834764831845	0	True	True													albert	mlp	english
78	26	57	4	0.0	768	0.10664094190766783	0	False	False	0.9846	1.2383	1.2471	0.829	0.7892	0.79	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
79	26	57	4	0.0	768	0.10664094190766783	0	True	False	2.4243	2.4244	2.4232	0.4849	0.4849	0.4849	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
80	26	57	4	0.0	768	0.10664094190766783	0	True	True													albert	mlp	english
81	27	968	3	0.22	768	0.12866277958043645	0	False	False	0.405	0.7221	0.7262	0.9372	0.8832	0.8816	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
82	27	968	3	0.22	768	0.12866277958043645	0	True	False	2.0251	2.0236	2.0242	0.6177	0.6177	0.6177	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
83	27	968	3	0.22	768	0.12866277958043645	0	True	True													albert	mlp	english
84	28	268	4	0.37	768	0.15523222650918542	0	False	False	1.4313	1.3782	1.3835	0.772	0.7813	0.7844	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
85	28	268	4	0.37	768	0.15523222650918542	0	True	False	2.9411	2.9428	2.942	0.3783	0.3783	0.3783	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
86	28	268	4	0.37	768	0.15523222650918542	0	True	True	4.4211	4.4208	4.4201	0.1704	0.1704	0.1704	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
87	29	270	0	0.04	768	0.1872883846095852	0	False	False	1.7445	7.0245	6.6558	0.9022	0.7927	0.7973	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
88	29	270	0	0.04	768	0.1872883846095852	0	True	False	5.2841	5.284	5.2831	0.5269	0.5269	0.5269	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
89	29	270	0	0.04	768	0.1872883846095852	0	True	True	5.935	5.9336	5.9329	0.3565	0.3565	0.3565	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
90	30	596	0	0.43	768	0.22596428459777515	0	False	False	3.9515	6.7834	6.432	0.8435	0.7875	0.7987	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
91	30	596	0	0.43	768	0.22596428459777515	0	True	False	9.4078	9.4115	9.4053	0.3481	0.3481	0.3481	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
92	30	596	0	0.43	768	0.22596428459777515	0	True	True	8.8226	8.8211	8.8189	0.1891	0.1891	0.1891	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
93	31	694	3	0.18	768	0.2726269331663144	0	False	False	0.3691	0.729	0.7264	0.9426	0.8859	0.8806	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
94	31	694	3	0.18	768	0.2726269331663144	0	True	False	1.952	1.9529	1.9508	0.643	0.643	0.643	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
95	31	694	3	0.18	768	0.2726269331663144	0	True	True	2.9313	2.9332	2.9324	0.5442	0.5442	0.5442	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
96	32	837	4	0.09	768	0.32892563008340914	0	False	False	0.429	0.8315	0.8382	0.9319	0.8712	0.8656	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
97	32	837	4	0.09	768	0.32892563008340914	0	True	False	0.7667	0.7663	0.7667	0.871	0.871	0.871	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
98	32	837	4	0.09	768	0.32892563008340914	0	True	True	1.6321	1.6317	1.6321	0.7456	0.7456	0.7456	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
99	33	487	0	0.14	768	0.3968502629920497	0	False	False	1.5007	6.9043	6.4275	0.9215	0.8181	0.8212	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
100	33	487	0	0.14	768	0.3968502629920497	0	True	False	6.906	6.9122	6.9115	0.4458	0.4458	0.4458	0.0	0.0	0.0	0.0	0.0	0.0	albert	mlp	english
