	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
34	34	418	5	0.37	768	0.4788016403492869	34	False	False	5.5843	5.5843	5.5843	0.123	0.1325	0.1334	0.1066	0.1066	0.1066	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
35	35	407	5	0.35000000000000003	768	0.577676348436136	35	False	False	5.5844	5.5844	5.5844	0.1229	0.1325	0.1333	0.1065	0.1065	0.1065	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
36	36	657	2	0.11	768	0.6969691317244994	36	False	False	5.5846	5.5846	5.5846	0.1229	0.1325	0.1333	0.1053	0.1053	0.1053	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
37	37	442	1	0.41	768	0.8408964152537145	37	False	False	5.5846	5.5845	5.5845	0.1229	0.1325	0.1333	0.1093	0.1093	0.1093	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
38	38	398	4	0.23	768	1.0145453349375229	38	False	False	5.5847	5.5847	5.5847	0.1229	0.1324	0.1332	0.1049	0.1049	0.1049	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
39	39	369	4	0.29	768	1.2240535433046549	39	False	False	5.5848	5.5848	5.5848	0.1398	0.1457	0.1479	0.1049	0.1049	0.1049	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
40	40	75	4	0.33	768	1.4768261459394991	40	False	False	5.5848	5.5848	5.5848	0.0906	0.0939	0.0899	0.1048	0.1048	0.1048	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
41	41	179	0	0.02	768	1.7817974362806772	41	False	False	5.5848	5.5848	5.5848	0.1265	0.1365	0.1381	0.1054	0.1054	0.1054	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
42	42	442	4	0.19	768	2.1497466798413916	42	False	False	5.5849	5.5849	5.5849	0.0619	0.0612	0.0583	0.0842	0.0842	0.0842	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
43	43	111	1	0.22	768	2.5936791093020197	43	False	False	5.5849	5.5849	5.5849	0.1194	0.1285	0.1287	0.1049	0.1049	0.1049	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
