run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
10,72,3,0.23,300,0.005290060730222237,4,False,False,0.2729,0.3543,0.3624,0.9363,0.9232,0.9195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,4,True,False,3.0061,3.0061,3.0061,0.2688,0.2688,0.2688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,4,True,True,,,,,,,,,,,,
11,467,3,0.31,300,0.006382482239223045,4,False,False,0.1706,0.2841,0.2959,0.9528,0.9330,0.9292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,300,0.006382482239223045,4,True,False,2.4840,2.4840,2.4840,0.3996,0.3996,0.3996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,300,0.006382482239223045,4,True,True,,,,,,,,,,,,
12,377,0,0.37,300,0.007700493739376462,4,False,False,0.5288,0.5578,0.5798,0.8874,0.8814,0.8782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,300,0.007700493739376462,4,True,False,3.0995,3.0995,3.0995,0.2426,0.2426,0.2426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,300,0.007700493739376462,4,True,True,,,,,,,,,,,,
13,436,2,0.25,300,0.009290680585958758,4,False,False,0.1825,0.2850,0.2941,0.9515,0.9325,0.9299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,300,0.009290680585958758,4,True,False,2.3814,2.3814,2.3814,0.4119,0.4119,0.4119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,300,0.009290680585958758,4,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,300,0.011209248221179687,5,False,False,0.1932,0.2815,0.2945,0.9482,0.9318,0.9285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,5,True,False,2.8028,2.8028,2.8028,0.3126,0.3126,0.3126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,5,True,True,,,,,,,,,,,,
15,326,3,0.09,300,0.013524008765720979,5,False,False,0.1894,0.3002,0.3125,0.9509,0.9304,0.9276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,300,0.013524008765720979,5,True,False,2.1577,2.1577,2.1577,0.4332,0.4332,0.4332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,300,0.013524008765720979,5,True,True,,,,,,,,,,,,
16,326,2,0.02,300,0.01631677785042834,5,False,False,0.1867,0.3162,0.3283,0.9504,0.9298,0.9272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,300,0.01631677785042834,5,True,False,2.1292,2.1292,2.1292,0.4361,0.4361,0.4361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,300,0.01631677785042834,5,True,True,,,,,,,,,,,,
17,247,2,0.15,300,0.01968626640460739,6,False,False,0.1786,0.2922,0.3023,0.9522,0.9316,0.9293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,300,0.01968626640460739,6,True,False,2.3845,2.3845,2.3845,0.4075,0.4075,0.4075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,300,0.01968626640460739,6,True,True,,,,,,,,,,,,
18,179,1,0.01,300,0.02375156961170491,6,False,False,0.1940,0.3213,0.3312,0.9494,0.9270,0.9275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,300,0.02375156961170491,6,True,False,2.3373,2.3373,2.3373,0.4075,0.4075,0.4075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,300,0.02375156961170491,6,True,True,,,,,,,,,,,,
19,137,5,0.3,300,0.028656376350145975,6,False,False,0.6106,0.7863,0.7676,0.8694,0.8603,0.8593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,300,0.028656376350145975,6,True,False,3.0273,3.0273,3.0273,0.2435,0.2435,0.2435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,300,0.028656376350145975,6,True,True,,,,,,,,,,,,
20,786,2,0.24,300,0.03457404790277603,7,False,False,0.1634,0.2825,0.2951,0.9551,0.9345,0.9305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,300,0.03457404790277603,7,True,False,2.1660,2.1660,2.1660,0.4327,0.4327,0.4327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,300,0.03457404790277603,7,True,True,,,,,,,,,,,,
21,410,1,0.49,300,0.04171374544281356,7,False,False,0.2625,0.3292,0.3418,0.9384,0.9268,0.9234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,300,0.04171374544281356,7,True,False,2.9638,2.9638,2.9638,0.2663,0.2663,0.2663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,300,0.04171374544281356,7,True,True,,,,,,,,,,,,
